rent_sno,date,0
24,2021-11-16,273
24,2021-11-17,272
24,2021-11-18,235
24,2021-11-19,273
24,2021-11-20,204
24,2021-11-21,331
24,2021-11-22,203
24,2021-11-23,144
24,2021-11-24,243
24,2021-11-25,240
24,2021-11-26,140
24,2021-11-27,77
24,2021-11-28,265
24,2021-11-29,247
24,2021-11-30,190
25,2021-11-01,217
25,2021-11-02,223
25,2021-11-03,214
25,2021-11-04,226
25,2021-11-05,221
25,2021-11-06,211
25,2021-11-07,184
25,2021-11-08,138
25,2021-11-09,213
25,2021-11-10,222
25,2021-11-11,224
25,2021-11-12,155
25,2021-11-13,143
25,2021-11-14,148
25,2021-11-15,207
25,2021-11-16,219
25,2021-11-17,210
25,2021-11-18,169
25,2021-11-19,216
25,2021-11-20,109
25,2021-11-21,178
25,2021-11-22,155
25,2021-11-23,94
25,2021-11-24,194
25,2021-11-25,190
25,2021-11-26,93
25,2021-11-27,54
25,2021-11-28,158
25,2021-11-29,202
25,2021-11-30,176
26,2021-11-01,129
26,2021-11-02,148
26,2021-11-03,125
26,2021-11-04,158
26,2021-11-05,163
26,2021-11-06,134
26,2021-11-07,120
26,2021-11-08,97
26,2021-11-09,133
26,2021-11-10,152
26,2021-11-11,142
26,2021-11-12,120
26,2021-11-13,77
26,2021-11-14,102
26,2021-11-15,162
26,2021-11-16,149
26,2021-11-17,145
26,2021-11-18,112
26,2021-11-19,146
26,2021-11-20,76
26,2021-11-21,127
26,2021-11-22,115
26,2021-11-23,84
26,2021-11-24,156
26,2021-11-25,134
26,2021-11-26,69
26,2021-11-27,46
26,2021-11-28,99
26,2021-11-29,145
26,2021-11-30,120
27,2021-11-01,152
27,2021-11-02,131
27,2021-11-03,148
27,2021-11-04,143
27,2021-11-05,193
27,2021-11-06,157
27,2021-11-07,131
27,2021-11-08,62
27,2021-11-09,151
27,2021-11-10,162
27,2021-11-11,167
27,2021-11-12,102
27,2021-11-13,56
27,2021-11-14,76
27,2021-11-15,157
27,2021-11-16,161
27,2021-11-17,164
27,2021-11-18,112
27,2021-11-19,150
27,2021-11-20,84
27,2021-11-21,170
27,2021-11-22,86
27,2021-11-23,66
27,2021-11-24,160
27,2021-11-25,115
27,2021-11-26,50
27,2021-11-27,28
27,2021-11-28,126
27,2021-11-29,137
27,2021-11-30,125
28,2021-11-01,35
28,2021-11-02,40
28,2021-11-03,34
28,2021-11-04,35
28,2021-11-05,30
28,2021-11-06,56
28,2021-11-07,33
28,2021-11-08,17
28,2021-11-09,29
28,2021-11-10,47
28,2021-11-11,41
28,2021-11-12,20
28,2021-11-13,27
28,2021-11-14,32
28,2021-11-15,38
28,2021-11-16,38
28,2021-11-17,32
28,2021-11-18,30
28,2021-11-19,28
28,2021-11-20,18
28,2021-11-21,36
28,2021-11-22,21
28,2021-11-23,16
28,2021-11-24,29
28,2021-11-25,25
28,2021-11-26,13
28,2021-11-27,6
28,2021-11-28,25
28,2021-11-29,24
28,2021-11-30,25
29,2021-11-01,90
29,2021-11-02,98
29,2021-11-03,116
29,2021-11-04,114
29,2021-11-05,121
29,2021-11-06,55
29,2021-11-07,50
29,2021-11-08,63
29,2021-11-09,118
29,2021-11-10,91
29,2021-11-11,105
29,2021-11-12,75
29,2021-11-13,42
29,2021-11-14,48
29,2021-11-15,71
29,2021-11-16,99
29,2021-11-17,110
29,2021-11-18,82
29,2021-11-19,106
29,2021-11-20,36
29,2021-11-21,50
29,2021-11-22,70
29,2021-11-23,63
29,2021-11-24,81
29,2021-11-25,87
29,2021-11-26,49
29,2021-11-27,12
29,2021-11-28,41
29,2021-11-29,96
29,2021-11-30,72
30,2021-11-01,145
30,2021-11-02,100
30,2021-11-03,98
30,2021-11-04,119
30,2021-11-05,136
30,2021-11-06,81
30,2021-11-07,71
30,2021-11-08,95
30,2021-11-09,98
30,2021-11-10,125
30,2021-11-11,95
30,2021-11-12,112
30,2021-11-13,69
30,2021-11-14,79
30,2021-11-15,118
30,2021-11-16,134
30,2021-11-17,163
30,2021-11-18,130
30,2021-11-19,126
30,2021-11-20,103
30,2021-11-21,92
30,2021-11-22,133
30,2021-11-23,76
