return_sno,date,0
32,2021-11-14,182
32,2021-11-15,262
32,2021-11-16,309
32,2021-11-17,303
32,2021-11-18,183
32,2021-11-19,285
32,2021-11-20,177
32,2021-11-21,205
32,2021-11-22,176
32,2021-11-23,155
32,2021-11-24,264
32,2021-11-25,250
32,2021-11-26,96
32,2021-11-27,77
32,2021-11-28,178
32,2021-11-29,244
32,2021-11-30,214
33,2021-11-01,117
33,2021-11-02,111
33,2021-11-03,114
33,2021-11-04,113
33,2021-11-05,126
33,2021-11-06,93
33,2021-11-07,76
33,2021-11-08,75
33,2021-11-09,102
33,2021-11-10,110
33,2021-11-11,121
33,2021-11-12,102
33,2021-11-13,56
33,2021-11-14,64
33,2021-11-15,123
33,2021-11-16,117
33,2021-11-17,99
33,2021-11-18,80
33,2021-11-19,116
33,2021-11-20,54
33,2021-11-21,79
33,2021-11-22,85
33,2021-11-23,61
33,2021-11-24,107
33,2021-11-25,96
33,2021-11-26,50
33,2021-11-27,25
33,2021-11-28,45
33,2021-11-29,111
33,2021-11-30,81
34,2021-11-01,136
34,2021-11-02,136
34,2021-11-03,107
34,2021-11-04,154
34,2021-11-05,127
34,2021-11-06,109
34,2021-11-07,87
34,2021-11-08,84
34,2021-11-09,141
34,2021-11-10,124
34,2021-11-11,136
34,2021-11-12,101
34,2021-11-13,73
34,2021-11-14,82
34,2021-11-15,140
34,2021-11-16,152
34,2021-11-17,144
34,2021-11-18,95
34,2021-11-19,151
34,2021-11-20,81
34,2021-11-21,100
34,2021-11-22,96
34,2021-11-23,72
34,2021-11-24,114
34,2021-11-25,128
34,2021-11-26,87
34,2021-11-27,37
34,2021-11-28,75
34,2021-11-29,115
34,2021-11-30,102
35,2021-11-01,294
35,2021-11-02,295
35,2021-11-03,275
35,2021-11-04,297
35,2021-11-05,317
35,2021-11-06,246
35,2021-11-07,195
35,2021-11-08,202
35,2021-11-09,294
35,2021-11-10,288
35,2021-11-11,288
35,2021-11-12,241
35,2021-11-13,162
35,2021-11-14,203
35,2021-11-15,270
35,2021-11-16,332
35,2021-11-17,259
35,2021-11-18,238
35,2021-11-19,300
35,2021-11-20,168
35,2021-11-21,205
35,2021-11-22,199
35,2021-11-23,175
35,2021-11-24,249
35,2021-11-25,279
35,2021-11-26,169
35,2021-11-27,62
35,2021-11-28,180
35,2021-11-29,280
35,2021-11-30,239
36,2021-11-01,180
36,2021-11-02,193
36,2021-11-03,197
36,2021-11-04,211
36,2021-11-05,264
36,2021-11-06,122
36,2021-11-07,126
36,2021-11-08,149
36,2021-11-09,208
36,2021-11-10,227
36,2021-11-11,191
36,2021-11-12,152
36,2021-11-13,101
36,2021-11-14,86
36,2021-11-15,182
36,2021-11-16,232
36,2021-11-17,224
36,2021-11-18,167
36,2021-11-19,223
36,2021-11-20,104
36,2021-11-21,137
36,2021-11-22,174
36,2021-11-23,157
36,2021-11-24,224
36,2021-11-25,196
36,2021-11-26,124
36,2021-11-27,35
36,2021-11-28,108
36,2021-11-29,183
36,2021-11-30,211
37,2021-11-01,369
37,2021-11-02,400
37,2021-11-03,410
37,2021-11-04,405
37,2021-11-05,416
37,2021-11-06,379
37,2021-11-07,396
37,2021-11-08,284
37,2021-11-09,397
37,2021-11-10,417
37,2021-11-11,420
37,2021-11-12,327
37,2021-11-13,253
37,2021-11-14,339
37,2021-11-15,443
37,2021-11-16,403
37,2021-11-17,419
37,2021-11-18,409
37,2021-11-19,422
37,2021-11-20,247
37,2021-11-21,351
37,2021-11-22,314
37,2021-11-23,279
37,2021-11-24,367
37,2021-11-25,371
37,2021-11-26,200
37,2021-11-27,101
37,2021-11-28,328
37,2021-11-29,386
37,2021-11-30,324
38,2021-11-01,307
38,2021-11-02,345
38,2021-11-03,323
38,2021-11-04,300
38,2021-11-05,353
38,2021-11-06,184
38,2021-11-07,206
38,2021-11-08,209
38,2021-11-09,302
38,2021-11-10,335
38,2021-11-11,321
38,2021-11-12,206
38,2021-11-13,147
